name,year,price,rating
What Happened,2017,18,4.6
"Publication Manual of the American Psychological Association, 6th Edition",2017,46,4.5
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),2017,4,4.8
Ready Player One: A Novel,2017,12,4.6
Player's Handbook (Dungeons & Dragons),2017,27,4.8
Origin: A Novel (Robert Langdon),2017,13,4.3
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,2018,15,4.6
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,2018,13,4.4
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),2018,6,4.9
The Pout-Pout Fish,2018,5,4.8
Becoming,2018,11,4.8
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,2018,6,4.3
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",2018,20,4.8
Dear Zoo: A Lift-the-Flap Book,2018,5,4.8
The Very Hungry Caterpillar,2018,5,4.9
The Hate U Give,2018,11,4.8
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),2018,6,4.7
Homebody: A Guide to Creating Spaces You Never Want to Leave,2018,22,4.8
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",2018,17,4.4
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),2018,8,4.8
Player's Handbook (Dungeons & Dragons),2018,27,4.8
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",2018,13,4.9
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,2018,6,4.4
How to Win Friends & Influence People,2018,11,4.7
The 5 Love Languages: The Secret to Love that Lasts,2018,8,4.8
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",2018,6,4.8
A Wrinkle in Time (Time Quintet),2018,5,4.5
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,2018,16,4.8
The Wonderful Things You Will Be,2018,10,4.9
Little Fires Everywhere,2018,12,4.5
Magnolia Table: A Collection of Recipes for Gathering,2018,16,4.8
Milk and Honey,2018,8,4.7
Crazy Rich Asians (Crazy Rich Asians Trilogy),2018,8,4.3
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,2018,8,4.7
Fahrenheit 451,2018,8,4.6
The Wonky Donkey,2018,4,4.8
Fear: Trump in the White House,2018,2,4.4
Fire and Fury: Inside the Trump White House,2018,6,4.2
"Publication Manual of the American Psychological Association, 6th Edition",2018,46,4.5
First 100 Words,2018,4,4.7
12 Rules for Life: An Antidote to Chaos,2018,15,4.7
The Meltdown (Diary of a Wimpy Kid Book 13),2018,8,4.8
P is for Potty! (Sesame Street) (Lift-the-Flap),2018,5,4.7
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,2018,7,4.3
Giraffes Can't Dance,2018,4,4.8
Educated: A Memoir,2018,15,4.7
Ready Player One: A Novel,2018,12,4.6
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,2018,12,4.6
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),2018,6,4.9
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),2018,4,4.9
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",2018,12,4.6
The President Is Missing: A Novel,2018,18,4.3
Goodnight Moon,2018,5,4.8
"A Higher Loyalty: Truth, Lies, and Leadership",2018,3,4.7
"Oh, the Places You'll Go!",2018,8,4.9
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",2018,18,4.5
P is for Potty! (Sesame Street) (Lift-the-Flap),2019,5,4.7
"National Geographic Kids Why?: Over 1,111 Answers to Everything",2019,16,4.8
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),2019,5,4.6
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,2019,6,4.6
The Silent Patient,2019,14,4.5
What Should Danny Do? (The Power to Choose Series),2019,13,4.8
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,2019,15,4.6
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),2019,11,4.8
Goodnight Moon,2019,5,4.8
Guts,2019,7,4.8
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,2019,10,4.7
Can't Hurt Me: Master Your Mind and Defy the Odds,2019,18,4.8
The Guardians: A Novel,2019,14,4.5
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,2019,10,4.7
"Brown Bear, Brown Bear, What Do You See?",2019,5,4.9
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",2019,12,4.8
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",2019,18,4.9
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),2019,6,4.7
Player's Handbook (Dungeons & Dragons),2019,27,4.8
The Very Hungry Caterpillar,2019,5,4.9
The Wonderful Things You Will Be,2019,10,4.9
The Wonky Donkey,2019,4,4.8
Howard Stern Comes Again,2019,16,4.3
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",2019,7,4.8
"Oh, the Places You'll Go!",2019,8,4.9
If Animals Kissed Good Night,2019,4,4.8
Becoming,2019,11,4.8
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,2019,13,4.4
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,2019,6,4.3
Strange Planet (Strange Planet Series),2019,6,4.9
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,2019,12,4.8
Where the Crawdads Sing,2019,15,4.8
To Kill a Mockingbird,2019,7,4.8
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",2019,20,4.8
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",2019,12,4.8
Wrecking Ball (Diary of a Wimpy Kid Book 14),2019,8,4.9
The 5 Love Languages: The Secret to Love that Lasts,2019,8,4.8
Unfreedom of the Press,2019,11,4.9
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),2019,4,4.8
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",2019,6,4.8
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,2019,11,4.5
Educated: A Memoir,2019,15,4.7
The Mueller Report,2019,12,4.6
Giraffes Can't Dance,2019,4,4.8
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",2019,12,4.6
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,2019,8,4.7
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),2019,8,4.9
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),2019,8,4.9
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",2019,12,4.6
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),2019,4,4.9
