name,year,price,rating
The Lego Ideas Book: Unlock Your Imagination,2011,13,4.4
"Publication Manual of the American Psychological Association, 6th Edition",2011,46,4.5
Water for Elephants: A Novel,2011,12,4.5
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",2011,13,4.2
"The Throne of Fire (The Kane Chronicles, Book 2)",2011,10,4.7
Steve Jobs,2011,20,4.6
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),2011,14,4.7
Tina Fey: Bossypants,2011,12,4.3
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,2011,10,4.7
The Official SAT Study Guide,2011,40,4.4
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",2011,9,4.5
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),2011,8,4.9
The Immortal Life of Henrietta Lacks,2011,9,4.7
A Stolen Life: A Memoir,2011,32,4.6
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,2011,21,4.7
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",2011,21,4.3
The Five Dysfunctions of a Team: A Leadership Fable,2011,6,4.6
Mockingjay (The Hunger Games),2011,8,4.5
One Thousand Gifts: A Dare to Live Fully Right Where You Are,2011,13,4.6
Inheritance: Book IV (Inheritance Cycle),2011,20,4.6
What to Expect When You're Expecting,2011,9,4.4
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",2011,21,4.4
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",2011,15,4.1
The 5 Love Languages: The Secret to Love That Lasts,2011,28,4.7
The Hunger Games Trilogy Boxed Set (1),2011,30,4.8
Crazy Love: Overwhelmed by a Relentless God,2011,14,4.7
The Hunger Games (Book 1),2011,8,4.7
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,2011,22,4.3
Catching Fire (The Hunger Games),2011,11,4.7
The Paris Wife: A Novel,2011,16,4.3
Go the F**k to Sleep,2011,9,4.8
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",2011,0,4.8
Cutting for Stone,2011,11,4.6
StrengthsFinder 2.0,2011,17,4
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",2011,4,4.2
The Help,2011,7,4.8
11/22/63: A Novel,2011,22,4.6
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,2011,20,4.4
Good to Great: Why Some Companies Make the Leap and Others Don't,2011,14,4.5
"The Son of Neptune (Heroes of Olympus, Book 2)",2011,10,4.8
The Help,2011,8,4.8
A Dance with Dragons (A Song of Ice and Fire),2011,11,4.4
Radical: Taking Back Your Faith from the American Dream,2011,9,4.7
The Litigators,2011,18,4.4
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,2011,24,4.6
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2011,16,4.8
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,2011,5,4.6
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",2012,7,4.7
The 5 Love Languages: The Secret to Love That Lasts,2012,28,4.7
The Lego Ideas Book: Unlock Your Imagination,2012,13,4.4
Fifty Shades Darker,2012,7,4.4
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),2012,11,4.5
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),2012,14,3.8
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),2012,32,4.5
Catching Fire (The Hunger Games),2012,11,4.7
"Oh, the Places You'll Go!",2012,8,4.9
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,2012,5,4.6
One Thousand Gifts: A Dare to Live Fully Right Where You Are,2012,13,4.6
The Immortal Life of Henrietta Lacks,2012,9,4.7
The Hunger Games Trilogy Boxed Set (1),2012,30,4.8
The Hunger Games (Book 1),2012,8,4.7
Gone Girl,2012,10,4
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",2012,6,4.4
Good to Great: Why Some Companies Make the Leap and Others Don't,2012,14,4.5
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",2012,7,4.9
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,2012,13,4.6
The Great Gatsby,2012,7,4.4
"Thinking, Fast and Slow",2012,19,4.6
Thomas Jefferson: The Art of Power,2012,23,4.5
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,2012,10,4.7
Steve Jobs,2012,20,4.6
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,2012,24,4.8
The Five Dysfunctions of a Team: A Leadership Fable,2012,6,4.6
The Fault in Our Stars,2012,13,4.7
Quiet: The Power of Introverts in a World That Can't Stop Talking,2012,20,4.6
"Publication Manual of the American Psychological Association, 6th Edition",2012,46,4.5
Mockingjay (The Hunger Games),2012,8,4.5
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),2012,8,4.9
The Casual Vacancy,2012,12,3.3
Killing Kennedy: The End of Camelot,2012,25,4.6
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),2012,10,4.7
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,2012,10,4.3
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",2012,14,4.2
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2012,16,4.8
The Amateur,2012,9,4.6
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,2012,24,4.6
StrengthsFinder 2.0,2012,17,4
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,2012,14,4.6
Winter of the World: Book Two of the Century Trilogy,2012,15,4.5
Wild: From Lost to Found on the Pacific Crest Trail,2012,18,4.4
"The Serpent's Shadow (The Kane Chronicles, Book 3)",2012,12,4.8
The Racketeer,2012,18,4.3
The Power of Habit: Why We Do What We Do in Life and Business,2012,21,4.6
The Pioneer Woman Cooks: Food from My Frontier,2012,21,4.8
The Official SAT Study Guide,2012,40,4.4
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",2012,9,4.5
"The Mark of Athena (Heroes of Olympus, Book 3)",2012,10,4.8
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",2013,13,4.4
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",2013,10,4.8
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",2013,17,4.8
StrengthsFinder 2.0,2013,17,4
The Great Gatsby,2013,7,4.4
Knock-Knock Jokes for Kids,2013,4,4.5
"The House of Hades (Heroes of Olympus, Book 4)",2013,14,4.8
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",2013,17,4.6
The Official SAT Study Guide,2013,40,4.4
Laugh-Out-Loud Jokes for Kids,2013,4,4.6
And the Mountains Echoed,2013,13,4.3
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,2013,24,4.6
Allegiant,2013,13,3.9
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",2013,7,4.9
"Lean In: Women, Work, and the Will to Lead",2013,13,4.5
Quiet: The Power of Introverts in a World That Can't Stop Talking,2013,7,4.6
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",2013,15,4.7
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),2013,12,4.9
